lst,ndvi,ndbi,year,sat,zone,site,trat
311.23534612443166,0.10129009228383769,-6.310526685812689E-4,2021,L8,sitio,cyrusone,dc
292.18484570105653,0.1317461178274002,-0.014582690253104285,2021,L8,sitio,cyrusone,dc
291.68790344431187,5.691659907618718,-0.022055304327998352,2021,L8,sitio,cyrusone,dc
290.2613595946077,0.11774965044397692,-0.012865532841972137,2022,L8,sitio,cyrusone,dc
291.8102628065346,0.10791153008715106,-0.006510373364576222,2022,L8,sitio,cyrusone,dc
299.4781639714864,0.11323113167315316,-0.0031811085932468572,2022,L8,sitio,cyrusone,dc
281.1890536981199,0.127629754376554,-0.045001618761221406,2022,L8,sitio,cyrusone,dc
307.74577161397025,0.10138001401943653,-0.0025088747622408814,2022,L8,sitio,cyrusone,dc
310.073505521886,0.09877915220521007,-0.0028037391134441013,2022,L8,sitio,cyrusone,dc
316.43743828104687,0.10390124043626627,-0.004044040187151985,2022,L8,sitio,cyrusone,dc
311.2213934686528,0.10845370249492112,-0.010973356776853072,2022,L8,sitio,cyrusone,dc
322.24659758307195,0.09984908012805621,-0.0010809504754455673,2022,L8,sitio,cyrusone,dc
323.7391870440685,0.10191004053262841,-0.0012301298121071293,2022,L8,sitio,cyrusone,dc
324.92678420282937,0.09752560791302987,8.9965318787272E-4,2022,L8,sitio,cyrusone,dc
324.1045408825871,0.1027285333808452,-4.194058782586368E-4,2022,L8,sitio,cyrusone,dc
308.53501347339784,0.1151973730857421,-0.028010437935414138,2022,L8,sitio,cyrusone,dc
318.7756894592533,0.10777109323526667,-0.003903882851612737,2022,L8,sitio,cyrusone,dc
318.06468066541436,0.11485758655689596,-0.005621445999374851,2022,L8,sitio,cyrusone,dc
317.36750424522126,0.10666208333875847,-0.0016230720837522917,2022,L8,sitio,cyrusone,dc
310.2911191793013,0.104468258535496,-0.0017035736901238004,2022,L8,sitio,cyrusone,dc
302.9439222560728,0.10447358588879702,-0.004252305168690378,2022,L8,sitio,cyrusone,dc
295.7349040014405,0.11155113880586935,-0.010253011907110797,2022,L8,sitio,cyrusone,dc
293.64215649050504,0.11055036957156114,-0.008196596183050135,2022,L8,sitio,cyrusone,dc
288.79337472606284,0.12343197452528125,-0.01626245846451127,2022,L8,sitio,cyrusone,dc
291.81368681783886,0.09969222760248121,-0.011948731666514788,2023,L8,sitio,cyrusone,dc
289.6628255276331,0.09553516594643116,-0.01051786585115082,2023,L8,sitio,cyrusone,dc
