lst,ndvi,ndbi,year,sat,zone,site,trat
292.37449964691604,0.11723470539186165,0.07423969215739554,2000,L7,sitio,meta,dc
296.6166222235696,0.10976333116493385,0.07307054171875427,2000,L7,sitio,meta,dc
300.74684440484714,0.11361112802061529,0.07691261060306862,2000,L7,sitio,meta,dc
310.4691246522687,0.15649654519232498,0.04835466642814952,2000,L7,sitio,meta,dc
318.5062927949669,0.1638741266207934,0.05119186698856069,2000,L7,sitio,meta,dc
323.84714360200246,0.1352709044497635,0.06351886836840123,2000,L7,sitio,meta,dc
325.8723228889292,0.12335886534807851,0.07079585058402116,2000,L7,sitio,meta,dc
329.4220451008855,0.11500263357394878,0.07220709285509422,2000,L7,sitio,meta,dc
331.44333695581946,0.11052256355559807,0.07204682084082532,2000,L7,sitio,meta,dc
322.1330404575166,0.09901697941377895,0.07968667942181246,2000,L7,sitio,meta,dc
330.40942589893575,0.10701838968565368,0.07742677987124666,2000,L7,sitio,meta,dc
328.4280841282044,0.10065358663421456,0.08082881032628325,2000,L7,sitio,meta,dc
320.9852370080128,0.09706143428283603,0.08266878994355173,2000,L7,sitio,meta,dc
320.4667690282196,0.09646039818653626,0.07877784488727439,2000,L7,sitio,meta,dc
317.23295199658924,0.09490623718966319,0.07670633786567685,2000,L7,sitio,meta,dc
295.8736026319571,0.185114022883549,0.03646654187818716,2000,L7,sitio,meta,dc
295.9755898910317,0.25613232006039244,0.00623792412017862,2000,L7,sitio,meta,dc
293.4875139738603,0.2642578095757851,0.0038253065999756756,2000,L7,sitio,meta,dc
290.18725442270573,0.3407641532848186,-0.03871278744595984,2001,L7,sitio,meta,dc
281.0998413533942,0.32365905622202373,-0.0670939407826565,2001,L7,sitio,meta,dc
299.79162173965045,0.32143166768108644,-0.016232519626238055,2001,L7,sitio,meta,dc
311.81708061288805,0.2033665052768702,0.052039132215446406,2001,L7,sitio,meta,dc
315.72779356521113,0.16877261841465954,0.07068321581886486,2001,L7,sitio,meta,dc
323.0092594446909,0.14950142218242646,0.07801025549192432,2001,L7,sitio,meta,dc
307.8511557588999,0.12372063940120519,0.05083084521216547,2001,L7,sitio,meta,dc
328.2361197816843,0.1376943517226821,0.08243262215937691,2001,L7,sitio,meta,dc
328.9999221469537,0.12639437706549075,0.08290992723218331,2001,L7,sitio,meta,dc
326.7904373411035,0.1247917103152741,0.08672672503769614,2001,L7,sitio,meta,dc
309.0627768565427,0.11691230033725988,0.058746569919178024,2001,L7,sitio,meta,dc
317.2183908105927,0.1284890856796921,0.08800181496385115,2001,L7,sitio,meta,dc
316.1725466024377,0.13760376950429556,0.06569062170797875,2001,L7,sitio,meta,dc
323.60537947232194,0.13196907501957758,0.07714948051437201,2001,L7,sitio,meta,dc
324.8567599875746,0.12983594572280485,0.0809463900344764,2001,L7,sitio,meta,dc
304.38136295301337,0.12836874988657396,0.07995391860558905,2001,L7,sitio,meta,dc
311.8644572227967,0.11816588577030203,0.08359438912341255,2001,L7,sitio,meta,dc
304.52532262698526,0.11747206975340764,0.07468220112906107,2001,L7,sitio,meta,dc
290.1605782680365,0.13891230813360045,0.07014429274743708,2001,L7,sitio,meta,dc
295.7641962141573,0.1502565697028549,0.06655961834184732,2002,L7,sitio,meta,dc
298.660871493061,0.1303024467149873,0.06880322721354555,2002,L7,sitio,meta,dc
301.92315013623426,0.11506832767357476,0.07721170809301675,2002,L7,sitio,meta,dc
305.1347068184316,0.11004851446814834,0.08070649360301602,2002,L7,sitio,meta,dc
318.87751363266847,0.11136490918257638,0.0836371048557217,2002,L7,sitio,meta,dc
318.2302931600474,0.10429752850072964,0.0826241523113414,2002,L7,sitio,meta,dc
323.9079985548601,0.10612571672605088,0.08224871038895583,2002,L7,sitio,meta,dc
322.92754856248075,0.1056005821629909,0.07669049731246325,2002,L7,sitio,meta,dc
328.71892606690704,0.10199652781052976,0.07991564428959634,2002,L7,sitio,meta,dc
325.8237097065961,0.0972589410320494,0.06838269927177894,2002,L7,sitio,meta,dc
331.9780618826459,0.1024771698953638,0.08096842451723149,2002,L7,sitio,meta,dc
292.0230275107189,0.06615761155289415,0.003009224929855311,2002,L7,sitio,meta,dc
320.87301661048457,0.09293925346750416,0.07497950799827856,2002,L7,sitio,meta,dc
325.743030837842,0.10304316172533193,0.07547341584712106,2002,L7,sitio,meta,dc
324.0130627139543,0.10739770849978922,0.06975326559136945,2002,L7,sitio,meta,dc
297.4412227757399,0.08584546567856433,0.022213299360700444,2002,L7,sitio,meta,dc
301.88813134504665,0.09416615696016387,0.07083726579775822,2002,L7,sitio,meta,dc
305.7879173947381,0.1047129014197367,0.06961908175615772,2002,L7,sitio,meta,dc
289.16665870164223,0.10560404314370958,0.04998573172599031,2002,L7,sitio,meta,dc
288.5508656128476,0.12088497070149332,0.06260507260511135,2002,L7,sitio,meta,dc
283.39686056889553,0.09105741938464855,0.021138445442262104,2003,L7,sitio,meta,dc
301.2762189008631,0.1098846070013958,0.06675426007157072,2003,L7,sitio,meta,dc
277.2950148622721,0.09542799852254207,0.011220554726115448,2003,L7,sitio,meta,dc
296.4647783437885,0.13674408301349295,0.05532738368380626,2003,L7,sitio,meta,dc
300.42918728782087,0.19247960368862033,0.028143460400884245,2003,L7,sitio,meta,dc
305.4135709532133,0.14984515200157508,0.04879775780817136,2003,L7,sitio,meta,dc
302.6705069799134,0.11219650396405653,0.03772986030022474,2003,L7,sitio,meta,dc
316.73459045477847,0.11170305995896007,0.06323616597740171,2003,L7,sitio,meta,dc
322.21491893094014,0.09316274190662197,0.07116817226727293,2003,L7,sitio,meta,dc
323.7765338807523,0.08618603701209468,0.06066305545319247,2003,L7,sitio,meta,dc
301.40030821501745,0.06706303571783737,0.054561884140484386,2003,L7,sitio,meta,dc
320.1116852013501,0.08489854586047119,0.06940510179427453,2003,L7,sitio,meta,dc
314.37165713923173,0.08477533745204212,0.06849900367859398,2003,L7,sitio,meta,dc
295.85484689102753,0.09895652943660092,0.06333126283776419,2003,L7,sitio,meta,dc
292.6327809301605,0.0955228072688515,0.05488506909181723,2003,L7,sitio,meta,dc
289.9980641772288,0.10682367707163472,0.06065541706714039,2003,L7,sitio,meta,dc
289.5827852837626,0.09363142909840864,0.06246042367759746,2004,L7,sitio,meta,dc
295.6837858442976,0.09271944003861399,0.06432379683222532,2004,L7,sitio,meta,dc
296.64442972628547,0.09595004389161853,0.044220732049755934,2004,L7,sitio,meta,dc
295.33065760037323,0.18654827942813668,0.025965912922954592,2004,L7,sitio,meta,dc
313.49531233799814,0.16528258578238797,0.03679476792724763,2004,L7,sitio,meta,dc
315.86719032836334,0.13353396594555153,0.051243731681836796,2004,L7,sitio,meta,dc
318.7676533173043,0.11083921282410494,0.05393029198464853,2004,L7,sitio,meta,dc
323.2516763456231,0.10485240006475238,0.05764956647424582,2004,L7,sitio,meta,dc
328.05878218891485,0.10534884722567814,0.05440965548076898,2004,L7,sitio,meta,dc
328.7571567350406,0.09534108864219294,0.05867996979885404,2004,L7,sitio,meta,dc
318.4222423798328,0.09180579171935493,0.0619064128085878,2004,L7,sitio,meta,dc
320.40328923643085,0.10440560614054496,0.05611588171664501,2004,L7,sitio,meta,dc
322.38374199010684,0.09724123731203542,0.058852722662679435,2004,L7,sitio,meta,dc
321.38805512477813,0.10736132362174736,0.052969737978747634,2004,L7,sitio,meta,dc
314.1389580922546,0.11211715500597139,0.05286035655396883,2004,L7,sitio,meta,dc
312.6719151168554,0.1232797508198405,0.05432928713333017,2004,L7,sitio,meta,dc
295.05262630622593,0.10862338385247423,0.04968039137169008,2004,L7,sitio,meta,dc
298.6943896246823,0.12375993346045236,0.043563797428128874,2004,L7,sitio,meta,dc
291.07173772465586,0.11498527500944841,0.050664130430063584,2004,L7,sitio,meta,dc
293.20305344847645,0.16688787666216567,0.03796531137743696,2004,L7,sitio,meta,dc
268.56930970323515,-0.008119392480706446,-0.21595913776351053,2005,L7,sitio,meta,dc
287.28619531203265,0.2877133436206231,-0.024143669067133295,2005,L7,sitio,meta,dc
292.3001677930337,0.2954752140018237,-0.022821227294092267,2005,L7,sitio,meta,dc
277.5307702440573,0.29910183067961504,-0.08510412510293153,2005,L7,sitio,meta,dc
299.2044088225656,0.3569071710861966,-0.062072991974259244,2005,L7,sitio,meta,dc
297.1286785581382,0.26792809972379134,-0.0669944474470033,2005,L7,sitio,meta,dc
306.7005323416355,0.2178078294935514,0.014452448949167647,2005,L7,sitio,meta,dc
312.36848864274094,0.1803710317102456,0.041099808371404103,2005,L7,sitio,meta,dc
318.3612434286806,0.15678880338053827,0.03922885533941724,2005,L7,sitio,meta,dc
292.18132621371296,0.1412886251621582,-0.056497447551822115,2005,L7,sitio,meta,dc
322.43155150967016,0.13160796658653032,0.03954510711522616,2005,L7,sitio,meta,dc
327.8970148097056,0.16453927583388442,0.0500053328826521,2005,L7,sitio,meta,dc
325.64552420882546,0.12432578782375811,0.0508428116950443,2005,L7,sitio,meta,dc
315.5625493820398,0.1174567788155994,0.07355741235457748,2005,L7,sitio,meta,dc
319.7905512705072,0.14002521770722057,0.07045250453207465,2005,L7,sitio,meta,dc
318.92294995896793,0.13874186796285765,0.059821858328735183,2005,L7,sitio,meta,dc
315.3603917037732,0.14829912627525538,0.06076665179330131,2005,L7,sitio,meta,dc
302.1444093651556,0.12660224355893837,0.05657670210114051,2005,L7,sitio,meta,dc
306.547963672704,0.13907272085232877,0.05871635066753677,2005,L7,sitio,meta,dc
299.83349575659014,0.114321784144006,0.05402362666952622,2005,L7,sitio,meta,dc
290.6178564785273,0.14063635685921244,0.055549932810410096,2005,L7,sitio,meta,dc
294.6913382663052,0.10361855950571285,0.047838186661095204,2005,L7,sitio,meta,dc
